video_id,likes,thumbnail_link,extracted_text,labels,web_entities
H_4ESBLJXQc,1296,https://i.ytimg.com/vi/H_4ESBLJXQc/default.jpg,,"['Aerial photography', ""Bird's-eye view"", 'Neighbourhood', 'Residential area', 'Urban design', 'Suburb', 'Metropolis', 'Intersection', 'Cityscape', 'Road junction']","['Photography', 'Aerial photography', 'Screenshot', 'Bedrock']"
GjJKdQTD1bc,28193,https://i.ytimg.com/vi/GjJKdQTD1bc/default.jpg,,"['Blond', 'Long hair', 'Facial hair', 'Moustache', 'Happiness', 'Television show']","['Emily Blunt', 'John Krasinski', 'other', 'Definition', 'available', 'contented', 'Context', 'continual', 'Dictionary', 'Audience']"
KWDUojLbxn4,46291,https://i.ytimg.com/vi/KWDUojLbxn4/default.jpg,,"['People', 'Happiness', 'Smile', 'Facial expression', 'Tooth', 'Child', 'Fun', 'Gesture', 'Laughter', 'Love']",[]
5jmaUAvUou4,44953,https://i.ytimg.com/vi/5jmaUAvUou4/default.jpg,OMG WE'RE COMING OVER!,"['Happiness', 'Smile', 'Blond', 'Advertising', 'Photo caption', 'Laughter', 'Feathered hair', 'Step cutting']","['Photograph', 'Text', 'Image', 'Photography', 'Photojournalism', 'Photo caption', 'Subtitle', 'Camera', 'Design', 'Fine art']"
VqcHUdHQ1u8,3026,https://i.ytimg.com/vi/VqcHUdHQ1u8/default.jpg,HELPING SANTA,"['Dog', 'Carnivores', 'Dog Clothes', 'Holiday', 'Happiness', 'Canidae', 'Christmas Day', 'Dog Supply', 'Toy dog', 'Pet Supply']","['Pembroke Welsh Corgi', 'Cardigan Welsh Corgi', 'Dorgi', 'Corgi-Chihuahua', 'Welsh Corgi', 'Dog Breed', 'Herding dog', 'Chihuahua', 'Breed', 'Herding']"
s3ChukSDGRU,16856,https://i.ytimg.com/vi/s3ChukSDGRU/default.jpg,RELATED?!,"['Film', 'Hero', 'Fictional character', 'Fiction', 'Collage']","['Action', 'Only the Strong', 'Thriller', 'Action Thriller', 'Martial Arts', 'Action comedy', 'famous', 'loved']"
fNtLIcyjsnI,18992,https://i.ytimg.com/vi/fNtLIcyjsnI/default.jpg,TRAILER HD,"['Lips', 'Happiness', 'Facial expression', 'Tooth', 'Eyelash', 'Film', 'Blond', 'Laughter', 'Portrait photography', 'Television show']","['Maren Morris', 'Game Night', 'Dailymotion', 'Girl', 'create', 'Girl', 'expected', 'Country music']"
2WHcBwq2wHc,89888,https://i.ytimg.com/vi/2WHcBwq2wHc/default.jpg,MO SALAH PRANK,"['Facial expression', 'Happiness', 'Smile', 'Laughter', 'Film', 'Advertising', 'Photo caption', 'Celebrating', 'Album cover', 'Graphic design']","['Album cover', 'Cover art', 'Album', 'Phonograph record', 'Art', 'Artist', 'Gatefold', 'create', 'Quevedo', 'Design']"
HHauPi8CS4k,3910,https://i.ytimg.com/vi/HHauPi8CS4k/default.jpg,,"['Happiness', 'Child', 'Toy dog', 'Photo caption', 'Canidae']","['Animation', 'Cody Lyon', 'Inside Out 2', 'Traditional animation', 'Pixar', 'Animator', 'Animated film', 'Illustration', 'Cel']"
JJgiKhhpGvQ,3099,https://i.ytimg.com/vi/JJgiKhhpGvQ/default.jpg,,"['Formal wear', 'Event', 'Suit', 'Coat', 'White-collar worker', 'Speech', 'Necktie', 'Blazer', 'Gesture', 'Entertainment']","['other', 'Definition', 'available', 'contented', 'continual', 'Audience', 'Context', 'easy', 'Dictionary', 'Entertainment']"
rxmtHVSVjdo,215353,https://i.ytimg.com/vi/rxmtHVSVjdo/default.jpg,vevo,['Flesh'],"['Greg McLean', 'The Darkness', 'The Darkness', 'Darkness', 'Spotify', 'The Police', 'Rock and Roll Deserves to Die', 'Song', 'Album', 'Darkness']"
oRArmtMA9AI,272469,https://i.ytimg.com/vi/oRArmtMA9AI/default.jpg,,['Happiness'],"['The Darkness', 'Chordify', 'Amazon Music', 'New Thang', 'Friday Night', 'Disturbed', 'Music video', 'The Darkness', 'Redfoo', 'Radha Mitchell']"
1h7KV2sjUWY,56564,https://i.ytimg.com/vi/1h7KV2sjUWY/default.jpg,NEW True Facts ANT MUTUALISM,"['Insect', 'Arthropod', 'Ant', 'Pest', 'Hymenopterans', 'Parasitism', 'Carpenter ant', 'Macro photography']","['Oriental hornet', 'Potter wasps', 'Honey bee', 'Beetles', 'Common fruit fly', 'Dailymotion', 'Spider', 'Hornets', 'Ants', 'Weevil']"
2P6dG-csseU,8019,https://i.ytimg.com/vi/2P6dG-csseU/default.jpg,HIDING IN THE RAIN FOREST?,"['Animation', 'Animated cartoon']","['Budgerigar', 'Cockatiel', 'Green jay', 'Lovebirds', 'Domestic canary', 'Woodpeckers', 'Macaw', 'Cartoon', 'Meter', 'Atlantic canary']"
trWLY6NrS2Q,59930,https://i.ytimg.com/vi/trWLY6NrS2Q/default.jpg,HONEST TRAILERS,"['Advertising', 'Film', 'Television show']","['Honest Trailers', 'Honest Trailers Every Wes Anderson Movie', 'Album cover', 'Cover art', 'Album', 'Art', 'Phonograph record', 'Other Record Labels', 'CinemaSins', 'Every Wes Anderson Movie']"
YI3tsmFsrOg,213130,https://i.ytimg.com/vi/YI3tsmFsrOg/default.jpg,BACTERIOPHAGE,"['Graphic design', 'Graphics', 'Night', 'Animation', 'Science', 'Star', 'Screenshot']","['Fly', 'Light', 'Termite', 'Pterygota', 'Street light', 'Alate', 'Window', 'Light pollution', 'Lightwell', 'Light source']"
tTkOuNrpqWQ,6550,https://i.ytimg.com/vi/tTkOuNrpqWQ/default.jpg,,"['Electrical cable', 'Machine', 'Wire', 'Tradesman', 'Hard hat']","['Dog', 'Stallion', 'Mare', 'Licking']"
v_8TF4nv88s,14419,https://i.ytimg.com/vi/v_8TF4nv88s/default.jpg,STRANDED ON AN ISLAND,"['Recreation', 'Animation', 'Adventure', 'Barechestedness']","['Cartoon', 'Cartoon Network', 'Cartoon Cartoons', 'Animation', 'Tom and Jerry', 'YouTube', ""Weekend at Benson's"", 'create', 'Spreadshirt']"
aGl-1nwahCA,111866,https://i.ytimg.com/vi/aGl-1nwahCA/default.jpg,EW! John Cena,"['Smile', 'Blond', 'Happiness', 'Laughter', 'Television show', 'Feathered hair', 'Film']","['Jimmy Fallon', 'The Tonight Show Starring Jimmy Fallon', 'The Tonight Show', 'EW!', 'Image', 'create', 'John Cena', 'Ew!', 'Saturday Night Live', 'Justin Timberlake']"
HAGnqSKtn3s,89200,https://i.ytimg.com/vi/HAGnqSKtn3s/default.jpg,YouTube ? ? ?,"['Facial expression', 'Happiness', 'Selfie']","['Animation', 'The Big Trip', 'Cartoon', 'Animated film', 'animated cartoon', 'funny', 'Humor', 'Cartoon Network India', 'Videogyan', 'Tom and Jerry']"
oDYoV8-9v10,30068,https://i.ytimg.com/vi/oDYoV8-9v10/default.jpg,STUCK,"['Volcanic plug', 'Triangle']","['JPEG', 'Image', 'Monochrome', 'Computer file', 'Drawing', 'Pixel', 'Information', 'Antimatter', 'Album', 'Mumford & Sons']"
pKW-ZgBl9eU,45965,https://i.ytimg.com/vi/pKW-ZgBl9eU/default.jpg,,"['People', 'Hat', 'Fan', 'Happiness', 'Cap', 'Gesture', 'Baseball cap', 'Laughter', 'Photobombing', 'Cheering']",['Selfie']
7VC4zX1vDE4,26307,https://i.ytimg.com/vi/7VC4zX1vDE4/default.jpg,BEDTIME WITH BABISH,"['Eyewear', 'Facial hair', 'Beard', 'Moustache', 'Photo caption']","['Photograph', 'create', 'future', 'Image', 'Relevant', 'combined', 'succeeding', 'Health', 'Massage', 'MAKE Wellness']"
